1;Erik Andersson;Chalmers;drIkk;0704569812;john.doe@email.com;;;;;;;;;
2;Johanna Berg;Chalmers;drIkk;0702318975;jane.smith@email.com;;;;;;;;;
3;Magnus Carlsson;Chalmers;drIkk;0706953847;robert.johnson@email.com;;;;;;;;;
4;Anna Dahlberg;Chalmers;drIkk;0708129561;emily.jackson@email.com;;;;;;;;;
5;Gustav Eriksson;Utland;4V;0705269317;david.nguyen@email.com;;;;;;;;;
6;Elin Fredriksson;Utland;4V;0703498126;amy.wilson@email.com;;;;;;;;;
7;Daniel Gustavsson;Utland;4V;0709187254;michael.thomas@email.com;;;;;;;;;
8;Emma Holm;Utland;4V;0706783152;sarah.brown@email.com;;;;;;;;;
9;Marcus Isaksson;Chalmers;Delta;0705294638;brian.chen@email.com;;;;;;;;;
10;Frida Johansson;Chalmers;Delta;0702759416;laura.hernandez@email.com;;;;;;;;;
11;Henrik Karlsson;Chalmers;Delta;0708142395;daniel.garcia@email.com;;;;;;;;;
12;Sofia Lindberg;Chalmers;Delta;0705428963;kelly.miller@email.com;;;;;;;;;
13;Anders Magnusson;Chalmers;Delta;0709364218;andrew.lee@email.com;;;;;;;;;
14;Sara Nilsson;Patet;drIkk-pateter;0702816935;lisa.kim@email.com;;;;;;;;;
15;Filip Olofsson;Patet;drIkk-pateter;0706458319;matthew.jones@email.com;;;;;;;;;
16;Emilia Persson;Patet;drIkk-pateter;0701936284;jennifer.nguyen@email.com;;;;;;;;;
17;Patrik Qvist;Patet;drIkk-pateter;0708275139;william.smith@email.com;;;;;;;;;
18;Malin Rönnqvist;Patet;drIkk-pateter;0704826153;tiffany.davis@email.com;;;;;;;;;
19;Markus Söderström;Patet;drIkk-pateter;0707561248;joseph.wilson@email.com;;;;;;;;;
20;Olivia Tran;Patet;drIkk-pateter;0709138572;erin.chang@email.com;;;;;;;;;
21;Jonas Ulmestig;Utland;Läxmästeriet;0706485132;ryan.pham@email.com;;;;;;;;;
22;Linda Västberg;Utland;Läxmästeriet;0702893641;ashley.nguyen@email.com;;;;;;;;;
23;Oscar Wiberg;Utland;Läxmästeriet;0708316452;patrick.thompson@email.com;;;;;;;;;
24;Ida Åberg;Utland;Läxmästeriet;0707468219;maria.perez@email.com;;;;;;;;;
25;Peter Östberg;Utland;Läxmästeriet;0705214873;kevin.huang@email.com;;;;;;;;;
26;Isabelle Åkesson;Utland;Läxmästeriet;0701983526;elizabeth.yang@email.com;;;;;;;;;
27;Sebastian Öberg;Utland;Läxmästeriet;0709752381;benjamin.rodriguez@email.com;;;;;;;;;
